noun,relative,dist
今回,0.0,0.16666666666666666
条項,0.0,0.0
効力,0.0,0.0
一応,0.0,0.0
旗艦,0.0,0.0
漢文,0.0,0.0
見学,0.0,0.0
退去,0.0,0.0
約定,0.0,0.0
全文,0.0,0.0
斐三郎,0.0,0.0
心得,0.0,0.0
遠藤,0.0,0.0
牧師,0.0,0.0
嘉七,0.0,0.0
杉浦,0.0,0.0
浅草,0.0,0.0
幼児,0.0,0.0
商家,0.0,0.0
生まれ,0.0,0.0
和親,0.0,0.0
山崎,0.0,0.0
結社,0.0,0.0
郷里,0.0,0.0
俳句,0.0,0.0
付録,0.0,0.0
文章,0.0,0.0
藤兵衛,0.0,0.0625
若山,0.0,0.0
社中,0.0,0.0
提出,0.0,0.5
回答,0.0,0.0
財産,0.0,0.0
勘解由,0.0,0.0
達書,0.0,0.058823529411764705
日米,0.0,0.0
返還,0.0,0.0
調印,0.0,0.0
艦船,0.0,0.0
国境,0.0,0.0
回航,0.0,0.0
全権,0.0,0.0
通告,0.0,0.0
締結,0.0,0.0
英仏,0.0,0.0
勃発,0.0,0.0
プチャーチン,0.0,0.0
捕鯨,0.0,0.0
内国,0.0,0.0
琉球,0.0,0.0
又左衛門,0.0,0.0
取り決め,0.0,0.0
水兵,0.0,0.0
願い,0.0,0.14285714285714285
事務官,0.0,0.0
解釈,0.0,0.0
承認,0.0,0.0
在留,0.0,0.0
乗船,0.0,0.0
リード,0.0,0.0
代価,0.0,0.0
ライス,0.0,0.0
馬鈴薯,0.0,0.0
過半数,0.0,0.0
石炭,0.0,0.0
料理店,0.0,0.0
岬台,0.0,0.0
逼迫,0.0,0.0
忠兵衛,0.0,0.0
対外,0.0,0.0
所得,0.0,0.0
大統領,0.0,0.0
遊女屋,0.0,0.0
貿易港,0.0,0.0
将校,0.0,0.0
遊郭,0.0,0.0
外務,0.0,0.0
雑居,0.0,0.0
抗議,0.0,0.0
ポーター,0.0,0.0
坪数,0.0,0.0
竣工,0.0,0.0
官費,0.0,0.0
波止場,0.0,0.0
弊害,0.0,0.02857142857142857
居留民,0.0,0.0
か国,0.0,0.0
居留地,0.0,0.0
期日,0.0,0.0
大勢,0.0,0.0
総領事,0.0,0.0
攻撃,0.0,0.0
軍事的,0.0,0.0
付け,0.0,0.05263157894736842
完成,0.0,0.0
会津,0.0,0.0
田村,0.0,0.0
所管,0.0,0.0
兵力,0.0,0.0
申請,0.0,0.0
要所,0.0,0.0
津田,0.0,0.0
歳入,0.0,0.0
趣意,0.0,0.0
乙部,0.0,0.0
分割,0.0,0.0
仕向,0.0,0.0
防禦,0.0,0.25
概況,0.0,0.0
意見書,0.0,0.0
婦人,0.0,0.0
便宜,0.0,0.0
各藩,0.0,0.0
教師,0.0,0.0
